Tiempo,Temperatura,Humedad,Presion
2023-01-01 00:00:00,33.82026172983832,55.55962679709798,1005.3353947328494
2023-01-01 00:01:00,27.000786041836115,58.924738873315306,1004.4401491795289
2023-01-01 00:02:00,29.893689920528697,45.77685175874729,1013.2306752947784
2023-01-01 00:03:00,36.204465996007286,51.04714029433284,1008.2081275988672
2023-01-01 00:04:00,34.33778995074984,52.28053325124067,1012.5959419352813
2023-01-01 00:05:00,20.113610600617946,52.01479946704433,1009.4807048200478
2023-01-01 00:06:00,29.750442087627945,55.4077358530039,1009.1460784964672
2023-01-01 00:07:00,24.24321395851151,31.819223696164304,1010.5957732956364
2023-01-01 00:08:00,24.48390574103221,49.50675929852427,1016.5179277732169
2023-01-01 00:09:00,27.05299250969186,52.39033601246765,1017.6457257388435
2023-01-01 00:10:00,25.72021785580439,39.99669651046295,1014.8558627632452
2023-01-01 00:11:00,32.27136753481488,66.73985707010709,1008.0508872522644
2023-01-01 15:00:00,17.69133655869296,49.701438783636334,1006.3863344023911
2023-01-01 15:01:00,21.58280116605659,48.81829215633408,1010.758586004206
2023-01-01 15:02:00,26.837724480111344,48.57312287926535,1011.0913245637971
2023-01-01 15:03:00,25.951557787969698,37.723635795895916,1012.2360276829895
2023-01-01 15:04:00,20.74135401373205,50.38127384094935,1007.9961975487563
2023-01-01 15:05:00,34.113618000639796,55.127175234723985,1005.0211119427935
2023-01-01 15:06:00,22.392101610033134,50.68599227480661,1012.3488841676664
2023-01-01 15:07:00,19.07656704794224,47.27723898854919,1012.0529103559411
2023-01-01 15:08:00,29.8034669923033,45.10274977626973,1008.9622297922507
2023-01-01 15:09:00,31.64531423269841,47.20703330721628,1009.289239191748
2023-01-01 15:10:00,20.912534511918867,62.57744217496038,1008.2992170406379
2023-01-01 15:11:00,17.993263534803447,29.133650205794574,1011.0173813049184
2023-01-01 15:12:00,30.152191337078023,50.400714565477756,1008.7184858650237
2023-01-01 15:13:00,14.763381934710191,46.722450827035836,1019.2993766575851
2023-01-01 15:14:00,18.866891703016922,64.55807951836843,1014.2049836602256
2023-01-01 15:15:00,29.837230750251173,50.554922254438026,1008.1384104098674
2023-01-01 15:16:00,24.72323725988805,64.84925598699954,1011.5977610926627
2023-01-01 15:17:00,23.68031325703656,28.76109981954441,1007.0985719682441
2023-01-01 15:18:00,26.76408303247189,54.59584904834056,1018.060841475874
2023-01-01 15:19:00,24.236127882272957,52.8005786003768,1019.920933622904
2023-01-01 15:20:00,18.50656638918455,63.90533967073938,1019.2600099137652
2023-01-01 15:21:00,31.38037673003094,33.58651391176971,1007.276536843787
2023-01-01 15:22:00,31.625070264434076,48.449641918816745,1012.5436649013691
2023-01-01 15:23:00,26.026662818889797,50.660602617864924,1010.9921466224354
2023-01-01 15:24:00,25.22567007716005,45.042045054547906,1015.8100655295709
2023-01-01 15:25:00,36.69812403010029,62.1657771374294,1007.9604509835805
2023-01-01 15:26:00,23.617835774920813,46.61317814554602,1009.620541529995
2023-01-01 15:27:00,23.702115090829803,70.34762544021154,1010.933914858241
2023-01-01 15:28:00,26.82240624620253,60.54177908938922,1013.7664423456621
2023-01-01 15:29:00,32.35660978071169,59.508336970037995,1016.4706435406895
2023-01-01 15:30:00,32.96385377208742,55.592989813908844,1011.356361536317
2023-01-01 15:31:00,23.707136841616144,39.36304408974452,1016.3198253776311
